[2020-08-09 09:58:53,304] acph-aprs-logger.WARNING: ACPH APRS logger starting...
[2020-08-09 09:58:53,493] acph.class_flights_logbook.INFO: handle beacon comment, raw data: # aprsc 2.1.5-g8af3cdc
[2020-08-09 09:58:53,499] acph.class_flights_logbook.INFO: handle beacon comment, raw data: # logresp ACPH verified, server GLIDERN2
[2020-08-09 09:59:12,457] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 07:59:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 09:59:32,610] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 07:59:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 09:59:52,575] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 07:59:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:00:12,586] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:00:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:00:32,536] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:00:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:00:52,520] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:00:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:01:12,507] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:01:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:01:32,490] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:01:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:01:52,479] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:01:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:02:12,441] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:02:12 GMT GLIDERN2 51.68.189.96:14580
